0.595;1.705;0.203;1.593
1.364;0.595;1.705;0.203
1.650;1.364;0.595;1.705
1.242;1.650;1.364;0.595
-0.980;1.242;1.650;1.364
-4.937;-0.980;1.242;1.650
0.685;-4.937;-0.980;1.242
-1.689;0.685;-4.937;-0.980
1.488;-1.689;0.685;-4.937
0.256;1.488;-1.689;0.685
0.128;0.256;1.488;-1.689
0.216;0.128;0.256;1.488
-0.482;0.216;0.128;0.256
-2.918;-0.482;0.216;0.128
0.468;-2.918;-0.482;0.216
-0.156;0.468;-2.918;-0.482
0.058;-0.156;0.468;-2.918
-2.075;0.058;-0.156;0.468
-2.562;-2.075;0.058;-0.156
0.179;-2.562;-2.075;0.058
1.660;0.179;-2.562;-2.075
1.297;1.660;0.179;-2.562
-2.349;1.297;1.660;0.179
1.863;-2.349;1.297;1.660
0.377;1.863;-2.349;1.297
0.652;0.377;1.863;-2.349
2.139;0.652;0.377;1.863
0.579;2.139;0.652;0.377
1.611;0.579;2.139;0.652
2.869;1.611;0.579;2.139
-1.639;2.869;1.611;0.579
0.398;-1.639;2.869;1.611
1.980;0.398;-1.639;2.869
0.446;1.980;0.398;-1.639
0.313;0.446;1.980;0.398
-1.050;0.313;0.446;1.980
-2.175;-1.050;0.313;0.446
-1.105;-2.175;-1.050;0.313
1.948;-1.105;-2.175;-1.050
-0.820;1.948;-1.105;-2.175
0.548;-0.820;1.948;-1.105
2.818;0.548;-0.820;1.948
7.013;2.818;0.548;-0.820
-1.933;7.013;2.818;0.548
1.232;-1.933;7.013;2.818
-0.712;1.232;-1.933;7.013
0.779;-0.712;1.232;-1.933
0.165;0.779;-0.712;1.232
0.922;0.165;0.779;-0.712
0.501;0.922;0.165;0.779
0.524;0.501;0.922;0.165
0.158;0.524;0.501;0.922
0.005;0.158;0.524;0.501
1.645;0.005;0.158;0.524
-2.128;1.645;0.005;0.158
-0.757;-2.128;1.645;0.005
0.683;-0.757;-2.128;1.645
0.614;0.683;-0.757;-2.128
0.016;0.614;0.683;-0.757
0.063;0.016;0.614;0.683
1.214;0.063;0.016;0.614
0.615;1.214;0.063;0.016
1.749;0.615;1.214;0.063
-0.827;1.749;0.615;1.214
0.996;-0.827;1.749;0.615
0.186;0.996;-0.827;1.749
0.379;0.186;0.996;-0.827
-0.915;0.379;0.186;0.996
5.810;-0.915;0.379;0.186
2.179;5.810;-0.915;0.379
-0.607;2.179;5.810;-0.915
-1.844;-0.607;2.179;5.810
2.451;-1.844;-0.607;2.179
-0.348;2.451;-1.844;-0.607
0.513;-0.348;2.451;-1.844
1.262;0.513;-0.348;2.451
0.637;1.262;0.513;-0.348
0.508;0.637;1.262;0.513
-1.229;0.508;0.637;1.262
-0.573;-1.229;0.508;0.637
-0.818;-0.573;-1.229;0.508
-1.935;-0.818;-0.573;-1.229
-2.211;-1.935;-0.818;-0.573
0.859;-2.211;-1.935;-0.818
4.236;0.859;-2.211;-1.935
-1.120;4.236;0.859;-2.211
0.722;-1.120;4.236;0.859
-0.669;0.722;-1.120;4.236
0.449;-0.669;0.722;-1.120
-0.490;0.449;-0.669;0.722
0.479;-0.490;0.449;-0.669
-0.702;0.479;-0.490;0.449
-0.849;-0.702;0.479;-0.490
-1.062;-0.849;-0.702;0.479
2.099;-1.062;-0.849;-0.702
-0.669;2.099;-1.062;-0.849
-0.834;-0.669;2.099;-1.062
0.530;-0.834;-0.669;2.099
-4.172;0.530;-0.834;-0.669
1.460;-4.172;0.530;-0.834
1.349;1.460;-4.172;0.530
0.635;1.349;1.460;-4.172
-0.220;0.635;1.349;1.460
1.087;-0.220;0.635;1.349
-1.220;1.087;-0.220;0.635
0.277;-1.220;1.087;-0.220
1.176;0.277;-1.220;1.087
1.018;1.176;0.277;-1.220
-0.071;1.018;1.176;0.277
-0.590;-0.071;1.018;1.176
-2.885;-0.590;-0.071;1.018
-2.571;-2.885;-0.590;-0.071
-0.605;-2.571;-2.885;-0.590
-0.370;-0.605;-2.571;-2.885
-0.665;-0.370;-0.605;-2.571
0.808;-0.665;-0.370;-0.605
-0.748;0.808;-0.665;-0.370
-1.008;-0.748;0.808;-0.665
1.118;-1.008;-0.748;0.808
0.418;1.118;-1.008;-0.748
-0.412;0.418;1.118;-1.008
-0.847;-0.412;0.418;1.118
-0.158;-0.847;-0.412;0.418
-0.482;-0.158;-0.847;-0.412
-1.134;-0.482;-0.158;-0.847
-0.904;-1.134;-0.482;-0.158
0.281;-0.904;-1.134;-0.482
-0.577;0.281;-0.904;-1.134
0.058;-0.577;0.281;-0.904
0.859;0.058;-0.577;0.281
0.980;0.859;0.058;-0.577
-0.542;0.980;0.859;0.058
1.325;-0.542;0.980;0.859
-1.955;1.325;-0.542;0.980
-1.943;-1.955;1.325;-0.542
-0.359;-1.943;-1.955;1.325
-0.905;-0.359;-1.943;-1.955
-0.170;-0.905;-0.359;-1.943
-0.349;-0.170;-0.905;-0.359
0.663;-0.349;-0.170;-0.905
1.209;0.663;-0.349;-0.170
1.541;1.209;0.663;-0.349
3.205;1.541;1.209;0.663
-0.519;3.205;1.541;1.209
-1.239;-0.519;3.205;1.541
0.178;-1.239;-0.519;3.205
-0.323;0.178;-1.239;-0.519
0.566;-0.323;0.178;-1.239
-0.227;0.566;-0.323;0.178
2.389;-0.227;0.566;-0.323
-0.402;2.389;-0.227;0.566
-1.278;-0.402;2.389;-0.227
-0.752;-1.278;-0.402;2.389
-3.644;-0.752;-1.278;-0.402
-0.544;-3.644;-0.752;-1.278
0.222;-0.544;-3.644;-0.752
0.052;0.222;-0.544;-3.644
-0.284;0.052;0.222;-0.544
-0.556;-0.284;0.052;0.222
-0.077;-0.556;-0.284;0.052
-1.077;-0.077;-0.556;-0.284
0.535;-1.077;-0.077;-0.556
-0.854;0.535;-1.077;-0.077
-0.273;-0.854;0.535;-1.077
0.076;-0.273;-0.854;0.535
1.655;0.076;-0.273;-0.854
